123	AfricanWestAir	\N	\N	AFC	AFRICANWEST	Senegal	N
124	AirfastIndonesia	\N	\N	AFE	AIRFAST	Indonesia	N
125	ArianaAfghanAirlines	\N	FG	AFG	ARIANA	Afghanistan	Y
126	AirFecteau	\N	\N	AFH	FECTO	Canada	N
127	Africaone	\N	\N	AFI	AFRICAWORLD	Uganda	N
128	Alliance	\N	\N	AFJ	JAMBO	Uganda	N
129	AfricaAirLinks	\N	\N	AFK	AFRICALINKS	SierraLeone	N
130	AeroflotRussianAirlines	\N	SU	AFL	AEROFLOT	Russia	Y
131	AeroEmpresaMexicana	\N	\N	AFO	AEROEMPRESA	Mexico	N
132	AirBosna	\N	JA	BON	AIRBOSNA	BosniaandHerzegovina	Y
133	AirBravo	\N	\N	BRF	AIRBRAVO	Uganda	N
134	AirBrasd'or	\N	\N	BRL	BRASD'OR	Canada	N
135	Air500	\N	\N	BRM	BOOMERANG	Canada	N
136	AlbaServiziAerotrasporti	\N	\N	AFQ	ALBA	Italy	N
137	AirFrance	\N	AF	AFR	AIRFRANS	France	Y
138	AirPartner	\N	\N	ACG	AIRPARTNER	UnitedKingdom	N
139	AirCaledonieInternational	\N	SB	ACI	AIRCALIN	France	Y
140	AirCaledonia	\N	\N	ACM	WESTCAL	Canada	N
141	AirGuam	\N	\N	AGM	AIRGUAM	UnitedStates	N
142	AirGabon	\N	GN	AGN	GOLFNOVEMBER	Gabon	N
143	AirData	\N	\N	AFS	\N	UnitedKingdom	N
144	AirAfriqueVacancies	\N	\N	AFV	AFRIQUEVACANCE	IvoryCoast	N
145	AirCargoAmerica	\N	\N	MVM	PEGASUS	UnitedStates	N
146	AirSalone	\N	2O	\N	\N	SierraLeone	Y
147	Air-Angol	\N	\N	NGO	AIRANGOL	Angola	N
148	AirNigeria	\N	\N	NGP	REGALEAGLE	Nigeria	N
149	AirCargoCarriers	\N	2Q	SNC	NIGHTCARGO	UnitedStates	Y
150	AirSamarkand	\N	\N	SND	ARSAM	Uzbekistan	N
151	AirSenegalInternational	\N	V7	SNG	AIRSENEGAL	Senegal	N
152	AirSandy	\N	\N	SNY	AIRSANDY	Canada	N
153	AirNamibia	\N	SW	NMB	NAMIBIA	Namibia	Y
154	AirIntersalonika	\N	\N	NSK	INTERSALONIKA	Greece	N
155	AirAnatolia	\N	\N	NTL	AIRANATOLIA	Turkey	N
156	AirSaigon	\N	\N	SGA	AIRSAIGON	Vietnam	N
157	AfriqueRegionalAirways	\N	\N	AFW	AFRAIR	IvoryCoast	N
158	AirfreightExpress	\N	\N	AFX		UnitedKingdom	N
159	AfricaCharteredServices	\N	\N	AFY	AFRICACHARTERED	Nigeria	N
160	AfricaFreightServices	\N	\N	AFZ	AFREIGHT	Zambia	N
161	AeronavesDelCentro	\N	\N	AGA	\N	Venezuela	N
162	AirServiceGabon	\N	G8	AGB	\N	Gabon	N
163	ArabAgriculturalAviationCompany	\N	\N	AGC	AGRICO	Egypt	N
164	AtlanticGulfAirlines	\N	\N	AGF	ATLANTICGULF	UnitedStates	N
165	Aerolitoral	\N	5D	SLI	COSTERA	Mexico	Y
166	AlgomaAirways	\N	\N	AGG	ALGOMA	Canada	N
167	Altagna	\N	\N	AGH	ALTAGNA	France	N
168	AngolaAirCharter	\N	\N	AGO	ANGOLACHARTER	Angola	N
169	AngolaAirCharter	\N	\N	AGO	ANGOLACHARTER	Angola	N
170	AERFIGroup	\N	\N	AGP	AIRTARA	Ireland	N
171	Aerogala	\N	\N	AGQ	GALASERVICE	Chile	N
172	AmadeusGlobalTravelDistribution	\N	1A	AGT	AMADEUS	Spain	N
173	AngaraAirlines	\N	\N	AGU	SARMA	Russia	N
174	AirGlaciers	\N	7T	AGV	AIRGLACIERS	Switzerland	Y
175	AeroGambia	\N	\N	AGW	AEROGAMBIA	Gambia	N
176	Aviogenex	\N	\N	AGX	GENEX	Serbia	Y
177	AtlanticCoastAirlines	\N	\N	BLR	BLUERIDGE	UnitedStates	N
178	AeroBarloz	\N	\N	BLZ	AEROLOZ	Mexico	N
179	Aeroper	\N	PL	PLI	Aeroperu	Peru	Y
180	AtlasBlue	\N	8A	BMM	ATLASBLUE	Morocco	Y
181	AeroBanobras	\N	\N	BNB	AEROBANOBRAS	Mexico	N
182	AeroFlightService	\N	\N	AGY	FLIGHTGROUP	UnitedStates	N
183	Agrolet-Mci	\N	\N	AGZ	AGROLET	Slovakia	N
184	AirAlphaGreenland	\N	GD	AHA	AIRALPHA	Denmark	N
185	AzalAviaCargo	\N	\N	AHC	AZALAVIACARGO	Azerbaijan	N
186	AirportHelicopterBasel	\N	\N	AHE	Muller&Co.	AIRPORTHELICOPTER	N
187	AeroservicesCorporate	\N	\N	CJE	BIRDJET	France	N
188	AspenHelicopters	\N	\N	AHF	ASPEN	UnitedStates	N
189	AerochagoAirlines	\N	\N	AHG	AEROCHAGO	DominicanRepublic	N
190	AirplanesHoldings	\N	\N	AHH	AIRHOLD	Ireland	N
191	AirHongKong	\N	LD	AHK	AIRHONGKONG	HongKong	N
192	Aerochiapas	\N	\N	AHP	AEROCHIAPAS	Mexico	N
193	AirAdriatic	\N	\N	AHR	ADRIATIC	Croatia	N
194	AirViggiSanRaffaele	\N	\N	AHS	AIRSAR	Italy	N
195	ABCAirHungary	\N	\N	AHU	ABCHUNGARY	Hungary	N
196	Aeromist-Kharkiv	\N	HT	AHW	AEROMIST	Ukraine	N
197	AzerbaijanAirlines	\N	J2	AHY	AZAL	Azerbaijan	Y
198	Avies	\N	U3	AIA	AVIES	Estonia	Y
199	AirbusIndustrie	\N	AP	AIB	AIRBUSINDUSTRIE	France	N
200	AlpineAirChile	\N	\N	AIH	ALPINECHILE	Chile	N
201	AirIntegra	\N	\N	AII	INTEGRA	Canada	N
